species,pi,xi,kernel,TL,OI,FT
species001,0.2,0.055,Exponential,1.0000000000000029,0,basal
species002,0.2,0.055,Exponential,1.000000000000006,0,basal
species003,0.2,0.055,Exponential,0.9999999999999947,0,basal
species004,0.2,0.055,Exponential,0.999999999999999,0,basal
species005,0.2,0.055,Exponential,1.0000000000000229,0,basal
species006,0.2,0.055,Exponential,0.9999999999999754,0,basal
species007,0.2,0.055,Exponential,1.0000000000000226,0,basal
species008,0.2,0.055,Exponential,1.0000000000000038,0,basal
species009,0.2,0.055,Exponential,1.0000000000000078,0,basal
species010,0.2,0.055,Exponential,1.0000000000000102,0,basal
species011,0.2,0.055,Exponential,1.0000000000000078,0,basal
species012,0.2,0.055,Exponential,1.0000000000000102,0,basal
species013,0.2,0.055,Exponential,1.0000000000000113,0,basal
species014,0.2,0.055,Exponential,1.0000000000000058,0,basal
species015,0.2,0.055,Exponential,1.0000000000000113,0,basal
species016,0.2,0.055,Exponential,1.000000000000011,0,basal
species017,0.2,0.055,Exponential,1.0000000000000093,0,basal
species018,0.2,0.055,Exponential,1.0000000000000036,0,basal
species019,0.2,0.055,Exponential,1.0000000000000062,0,basal
species020,0.2,0.055,Exponential,1.0000000000000064,0,basal
species021,0.2,0.055,Exponential,1.0000000000000064,0,basal
species022,0.2,0.055,Exponential,1.000000000000003,0,basal
species023,0.2,0.055,Exponential,1.0000000000000042,0,basal
species024,0.2,0.055,Exponential,1.0000000000000009,0,basal
species025,0.2,0.055,Exponential,1.0000000000000016,0,basal
species026,0.2,0.055,Exponential,0.9999999999999993,0,basal
species027,0.2,0.055,Exponential,1.0000000000000018,0,basal
species028,0.2,0.055,Exponential,1.0000000000000024,0,basal
species029,0.2,0.055,Exponential,1.000000000000003,0,basal
species030,0.2,0.055,Exponential,1.0000000000000036,0,basal
species031,0.2,0.055,Exponential,1.0000000000000016,0,basal
species032,0.2,0.055,Exponential,1.0000000000000024,0,basal
species033,0.2,0.055,Exponential,1.0000000000000024,0,basal
species034,0.2,0.055,Exponential,1.0000000000000027,0,basal
species035,0.2,0.055,Exponential,1.0000000000000024,0,basal
species036,0.2,0.055,Exponential,1.0000000000000033,0,basal
species037,0.2,0.055,Exponential,1.0000000000000022,0,basal
species038,0.2,0.055,Exponential,1.0000000000000049,0,basal
species039,0.2,0.055,Exponential,1.0000000000000018,0,basal
species040,0.2,0.055,Exponential,1.0000000000000029,0,basal
species041,0.2,0.055,Exponential,1.0000000000000024,0,basal
species042,0.2,0.055,Exponential,1.0000000000000007,0,basal
species043,0.2,0.055,Exponential,1.0000000000000013,0,basal
species044,0.2,0.055,Exponential,1.0000000000000022,0,basal
species045,0.2,0.055,Exponential,1.0000000000000004,0,basal
species046,0.2,0.055,Exponential,0.9999999999999996,0,basal
species047,0.2,0.055,Exponential,1.000000000000001,0,basal
species048,0.2,0.055,Exponential,1.0000000000000009,0,basal
species049,0.2,0.055,Exponential,0.9999999999999998,0,basal
species050,0.2,0.055,Exponential,0.9999999999999969,0,basal
species051,0.2,0.055,Exponential,2.0000000000000187,3.0251393490036104e-28,herbivore
species052,0.2,0.055,Exponential,2.000000000000015,2.1358497051370637e-28,herbivore
species053,0.2,0.055,Exponential,2.000000000000015,2.1358497051370637e-28,herbivore
species054,0.2,0.055,Exponential,2.000000000000017,2.354002027684979e-28,herbivore
species055,0.2,0.055,Exponential,2.0000000000000115,1.4901993364679715e-28,herbivore
species056,0.2,0.055,Exponential,2.000000000000014,1.8511032006065846e-28,herbivore
species057,0.2,0.055,Exponential,2.000000000000012,1.540489219175811e-28,herbivore
species058,0.2,0.055,Exponential,2.000000000000011,1.443853758286237e-28,herbivore
species059,0.2,0.055,Exponential,2.0000000000000124,1.5947234064097555e-28,herbivore
species060,0.2,0.055,Exponential,2.0000000000000115,1.4901993364679715e-28,herbivore
species061,0.2,0.055,Exponential,2.000000000000013,1.6529018981698051e-28,herbivore
species062,0.2,0.055,Exponential,2.0000000000000124,1.5947234064097555e-28,herbivore
species063,0.2,0.055,Exponential,2.0000000000000093,1.2979144908203498e-28,herbivore
species064,0.2,0.055,Exponential,2.0000000000000155,2.0848032437783093e-28,herbivore
species065,0.2,0.055,Exponential,2.0000000000000098,1.2465620083645272e-28,herbivore
species066,0.2,0.055,Exponential,2.0000000000000093,1.2187669874071306e-28,herbivore
species067,0.2,0.055,Exponential,2.000000000000009,1.194916270975839e-28,herbivore
species068,0.2,0.055,Exponential,2.0000000000000058,1.078861545167012e-28,herbivore
species069,0.2,0.055,Exponential,2.0555555555555607,0.052469135802470396,omnivore
species070,0.2,0.055,Exponential,2.0555555555555594,0.052469135802470396,omnivore
species071,0.2,0.055,Exponential,2.052631578947376,0.04986149584487656,omnivore
species072,0.2,0.055,Exponential,2.0526315789473784,0.04986149584487656,omnivore
species073,0.2,0.055,Exponential,2.1428571428571517,0.12244897959183915,omnivore
species074,0.2,0.055,Exponential,2.1428571428571517,0.12244897959183915,omnivore
species075,0.2,0.055,Exponential,2.1428571428571495,0.12244897959183916,omnivore
species076,0.2,0.055,Exponential,2.1739130434782736,0.14366729678639228,omnivore
species077,0.2,0.055,Exponential,2.1818181818181808,0.14876033057851532,omnivore
species078,0.2,0.055,Exponential,2.2608695652173867,0.19281663516068384,omnivore
species079,0.2,0.055,Exponential,2.400000000000003,0.24000000000000304,omnivore
species080,0.2,0.055,Exponential,2.4,0.24000000000000304,omnivore
species081,0.2,0.055,Exponential,2.406250000000001,0.24121093750000303,omnivore
species082,0.2,0.055,Exponential,2.4705882352941195,0.24913494809688855,omnivore
species083,0.2,0.055,Exponential,2.4722222222222276,0.24922839506173108,omnivore
species084,0.2,0.055,Exponential,2.472222222222225,0.24922839506173108,omnivore
species085,0.2,0.055,Exponential,2.4722222222222228,0.24922839506173108,omnivore
species086,0.2,0.055,Exponential,2.5156695156695212,0.252761747063744,omnivore
species087,0.2,0.055,Exponential,2.515669515669525,0.25276174706374405,omnivore
species088,0.2,0.055,Exponential,2.502777777777784,0.25292438271605217,omnivore
species089,0.2,0.055,Exponential,2.5289612921191944,0.2545918929568137,omnivore
species090,0.2,0.055,Exponential,2.557498819512558,0.26230004212606484,omnivore
species091,0.2,0.055,Exponential,2.55749881951256,0.26230004212606484,omnivore
species092,0.2,0.055,Exponential,2.569887682168394,0.26106867172745174,omnivore
species093,0.2,0.055,Exponential,2.5959746386901363,0.2612786905784023,omnivore
species094,0.2,0.055,Exponential,2.608710367888568,0.2628976649638043,omnivore
species095,0.2,0.055,Exponential,2.6087103678885657,0.2628976649638043,omnivore
species096,0.2,0.055,Exponential,2.6087103678885675,0.2628976649638043,omnivore
species097,0.2,0.055,Exponential,2.6363790209744162,0.2572398084633457,omnivore
species098,0.2,0.055,Exponential,2.66794888516858,0.27566484929535484,omnivore
species099,0.2,0.055,Exponential,2.667948885168577,0.27566484929535484,omnivore
species100,0.2,0.055,Exponential,2.6679488851685798,0.27566484929535484,omnivore
species101,0.2,0.055,Exponential,2.683016254859019,0.28093626625506807,omnivore
species102,0.2,0.055,Exponential,2.683016254859015,0.28093626625506807,omnivore
species103,0.2,0.055,Exponential,2.6830162548590164,0.28093626625506807,omnivore
species104,0.2,0.055,Exponential,2.6830162548590186,0.280936266255068,omnivore
