species,pi,xi,kernel,TL,OI,FT
species093,0.2,0.055,Exponential,1.000000000000003,0,basal
species094,0.2,0.055,Exponential,1.0000000000000024,0,basal
species095,0.2,0.055,Exponential,1.0000000000000009,0,basal
species096,0.2,0.055,Exponential,1.0000000000000027,0,basal
species097,0.2,0.055,Exponential,1.0000000000000013,0,basal
species098,0.2,0.055,Exponential,1.0000000000000013,0,basal
species099,0.2,0.055,Exponential,1.0000000000000018,0,basal
species100,0.2,0.055,Exponential,0.9999999999999994,0,basal
species101,0.2,0.055,Exponential,1.0000000000000022,0,basal
species102,0.2,0.055,Exponential,1.0000000000000009,0,basal
species103,0.2,0.055,Exponential,1.000000000000002,0,basal
species104,0.2,0.055,Exponential,1.0000000000000036,0,basal
species105,0.2,0.055,Exponential,1.0000000000000002,0,basal
species106,0.2,0.055,Exponential,1.0000000000000002,0,basal
species107,0.2,0.055,Exponential,0.9999999999999991,0,basal
species108,0.2,0.055,Exponential,0.9999999999999999,0,basal
species109,0.2,0.055,Exponential,0.9999999999999997,0,basal
species110,0.2,0.055,Exponential,1.0000000000000002,0,basal
species111,0.2,0.055,Exponential,0.9999999999999998,0,basal
species112,0.2,0.055,Exponential,0.9999999999999997,0,basal
species113,0.2,0.055,Exponential,0.9999999999999997,0,basal
species114,0.2,0.055,Exponential,0.9999999999999983,0,basal
species115,0.2,0.055,Exponential,0.9999999999999977,0,basal
species116,0.2,0.055,Exponential,0.9999999999999982,0,basal
species117,0.2,0.055,Exponential,0.9999999999999967,0,basal
species118,0.2,0.055,Exponential,0.9999999999999983,0,basal
species119,0.2,0.055,Exponential,0.9999999999999987,0,basal
species120,0.2,0.055,Exponential,0.9999999999999979,0,basal
species121,0.2,0.055,Exponential,0.9999999999999988,0,basal
species122,0.2,0.055,Exponential,0.9999999999999978,0,basal
species123,0.2,0.055,Exponential,0.9999999999999996,0,basal
species124,0.2,0.055,Exponential,0.999999999999996,0,basal
species125,0.2,0.055,Exponential,0.9999999999999979,0,basal
species126,0.2,0.055,Exponential,0.9999999999999976,0,basal
species127,0.2,0.055,Exponential,0.9999999999999976,0,basal
species128,0.2,0.055,Exponential,0.9999999999999971,0,basal
species129,0.2,0.055,Exponential,0.9999999999999991,0,basal
species130,0.2,0.055,Exponential,0.9999999999999986,0,basal
species131,0.2,0.055,Exponential,0.9999999999999962,0,basal
species132,0.2,0.055,Exponential,0.9999999999999981,0,basal
species133,0.2,0.055,Exponential,0.9999999999999968,0,basal
species134,0.2,0.055,Exponential,0.9999999999999974,0,basal
species135,0.2,0.055,Exponential,0.9999999999999983,0,basal
species136,0.2,0.055,Exponential,0.9999999999999972,0,basal
species137,0.2,0.055,Exponential,0.999999999999997,0,basal
species138,0.2,0.055,Exponential,0.9999999999999974,0,basal
species139,0.2,0.055,Exponential,0.9999999999999977,0,basal
species140,0.2,0.055,Exponential,0.9999999999999992,0,basal
species141,0.2,0.055,Exponential,0.9999999999999973,0,basal
species142,0.2,0.055,Exponential,0.999999999999998,0,basal
species143,0.2,0.055,Exponential,0.9999999999999988,0,basal
species144,0.2,0.055,Exponential,0.9999999999999972,0,basal
species145,0.2,0.055,Exponential,0.9999999999999968,0,basal
species146,0.2,0.055,Exponential,0.9999999999999976,0,basal
species147,0.2,0.055,Exponential,0.999999999999998,0,basal
species148,0.2,0.055,Exponential,0.9999999999999978,0,basal
species149,0.2,0.055,Exponential,0.9999999999999991,0,basal
species150,0.2,0.055,Exponential,0.999999999999999,0,basal
species151,0.2,0.055,Exponential,0.9999999999999986,0,basal
species152,0.2,0.055,Exponential,1.0000000000000002,0,basal
species153,0.2,0.055,Exponential,0.9999999999999996,0,basal
species154,0.2,0.055,Exponential,0.9999999999999988,0,basal
species155,0.2,0.055,Exponential,0.9999999999999996,0,basal
species156,0.2,0.055,Exponential,0.9999999999999993,0,basal
species157,0.2,0.055,Exponential,0.9999999999999998,0,basal
species158,0.2,0.055,Exponential,0.9999999999999993,0,basal
species159,0.2,0.055,Exponential,0.9999999999999993,0,basal
species160,0.2,0.055,Exponential,1.0000000000000007,0,basal
species161,0.2,0.055,Exponential,1.0000000000000013,0,basal
species162,0.2,0.055,Exponential,1.0000000000000007,0,basal
species163,0.2,0.055,Exponential,1.0000000000000004,0,basal
species164,0.2,0.055,Exponential,0.9999999999999993,0,basal
species165,0.2,0.055,Exponential,1.0000000000000007,0,basal
species166,0.2,0.055,Exponential,1,0,basal
species167,0.2,0.055,Exponential,1,0,basal
species168,0.2,0.055,Exponential,1.0000000000000004,0,basal
species169,0.2,0.055,Exponential,0.9999999999999998,0,basal
species170,0.2,0.055,Exponential,1.0000000000000009,0,basal
species171,0.2,0.055,Exponential,1.0000000000000009,0,basal
species172,0.2,0.055,Exponential,1.000000000000002,0,basal
species173,0.2,0.055,Exponential,0.9999999999999998,0,basal
species174,0.2,0.055,Exponential,1.0000000000000002,0,basal
species175,0.2,0.055,Exponential,1.000000000000001,0,basal
species176,0.2,0.055,Exponential,1.0000000000000024,0,basal
species177,0.2,0.055,Exponential,1.000000000000001,0,basal
species178,0.2,0.055,Exponential,1.0000000000000038,0,basal
species179,0.2,0.055,Exponential,1.0000000000000018,0,basal
species180,0.2,0.055,Exponential,1.0000000000000013,0,basal
species181,0.2,0.055,Exponential,1.0000000000000027,0,basal
species182,0.2,0.055,Exponential,1.0000000000000029,0,basal
species183,0.2,0.055,Exponential,1.000000000000003,0,basal
species184,0.2,0.055,Exponential,1.0000000000000007,0,basal
species185,0.2,0.055,Exponential,1.0000000000000024,0,basal
species186,0.2,0.055,Exponential,1.0000000000000027,0,basal
species187,0.2,0.055,Exponential,1.0000000000000029,0,basal
species188,0.2,0.055,Exponential,1.000000000000004,0,basal
species189,0.2,0.055,Exponential,1.0000000000000027,0,basal
species190,0.2,0.055,Exponential,1.0000000000000036,0,basal
species191,0.2,0.055,Exponential,1.0000000000000033,0,basal
species192,0.2,0.055,Exponential,1.0000000000000029,0,basal
species193,0.2,0.055,Exponential,1.0000000000000018,0,basal
species194,0.2,0.055,Exponential,1.0000000000000027,0,basal
species195,0.2,0.055,Exponential,1.0000000000000029,0,basal
species196,0.2,0.055,Exponential,1.000000000000004,0,basal
species197,0.2,0.055,Exponential,1.0000000000000038,0,basal
species198,0.2,0.055,Exponential,1.0000000000000036,0,basal
species199,0.2,0.055,Exponential,1.0000000000000038,0,basal
species200,0.2,0.055,Exponential,1.0000000000000036,0,basal
species201,0.2,0.055,Exponential,1.9999999999999998,2.2142787749845694e-29,herbivore
species202,0.2,0.055,Exponential,2.0000000000000013,1.947500359764373e-29,herbivore
species203,0.2,0.055,Exponential,2.0000000000000004,1.983373129376794e-29,herbivore
species204,0.2,0.055,Exponential,1.9999999999999998,2.063220502449528e-29,herbivore
