species,pi,xi,kernel,TL,OI,FT
species001,0.06624065917842548,0.018216181274067007,Exponential,1.0000000000000027,0,basal
species002,0.06624065917842445,0.018216181274066722,Exponential,0.999999999999987,0,basal
species003,0.06624065917842481,0.018216181274066823,Exponential,0.9999999999999926,0,basal
species004,0.06624065917842503,0.018216181274066885,Exponential,0.999999999999996,0,basal
species005,0.06624065917842495,0.01821618127406686,Exponential,0.9999999999999947,0,basal
species006,0.06624065917842478,0.018216181274066812,Exponential,0.9999999999999921,0,basal
species007,0.06624065917842534,0.018216181274066965,Exponential,1.0000000000000004,0,basal
species008,0.06624065917842505,0.01821618127406689,Exponential,0.9999999999999961,0,basal
species009,0.06624065917842539,0.018216181274066982,Exponential,1.0000000000000013,0,basal
species010,0.06624065917842521,0.018216181274066934,Exponential,0.9999999999999986,0,basal
species011,0.06624065917842514,0.018216181274066913,Exponential,0.9999999999999977,0,basal
species012,0.06624065917842557,0.018216181274067034,Exponential,1.0000000000000042,0,basal
species013,0.06624065917842535,0.01821618127406697,Exponential,1.0000000000000007,0,basal
species014,0.06624065917842557,0.018216181274067034,Exponential,1.0000000000000042,0,basal
species015,0.0662406591784254,0.018216181274066986,Exponential,1.0000000000000016,0,basal
species016,0.06624065917842535,0.01821618127406697,Exponential,1.0000000000000007,0,basal
species017,0.06624065917842552,0.018216181274067017,Exponential,1.0000000000000033,0,basal
species018,0.06624065917842546,0.018216181274067003,Exponential,1.0000000000000024,0,basal
species019,0.06624065917842539,0.018216181274066982,Exponential,1.0000000000000013,0,basal
species020,0.06624065917842542,0.01821618127406699,Exponential,1.0000000000000018,0,basal
species021,0.06624065917842543,0.018216181274066993,Exponential,1.000000000000002,0,basal
species022,0.06624065917842531,0.01821618127406696,Exponential,1.0000000000000002,0,basal
species023,0.06624065917842535,0.01821618127406697,Exponential,1.0000000000000007,0,basal
species024,0.06624065917842545,0.018216181274066996,Exponential,1.0000000000000022,0,basal
species025,0.06624065917842543,0.018216181274066993,Exponential,1.000000000000002,0,basal
species026,0.06624065917842549,0.01821618127406701,Exponential,1.0000000000000029,0,basal
species027,0.06624065917842568,0.018216181274067066,Exponential,1.0000000000000058,0,basal
species028,0.06624065917842564,0.018216181274067052,Exponential,1.000000000000005,0,basal
species029,0.06624065917842557,0.018216181274067034,Exponential,1.0000000000000042,0,basal
species030,0.06624065917842578,0.01821618127406709,Exponential,1.000000000000007,0,basal
species031,0.06624065917842584,0.018216181274067104,Exponential,1.000000000000008,0,basal
species032,0.06624065917842584,0.018216181274067104,Exponential,1.000000000000008,0,basal
species033,0.06624065917842566,0.018216181274067055,Exponential,1.0000000000000053,0,basal
species034,0.06624065917842566,0.018216181274067055,Exponential,1.0000000000000053,0,basal
species035,0.06624065917842566,0.018216181274067055,Exponential,1.0000000000000053,0,basal
species036,0.06624065917842538,0.01821618127406698,Exponential,1.000000000000001,0,basal
