species,pi,xi,kernel,TL,OI,FT
species001,0.2,0.014341471024235587,Exponential,1.0000000000000029,0,basal
species002,0.2,0.01434147102423563,Exponential,1.000000000000006,0,basal
species003,0.2,0.014341471024235468,Exponential,0.9999999999999947,0,basal
species004,0.2,0.01434147102423553,Exponential,0.999999999999999,0,basal
species005,0.2,0.014341471024235873,Exponential,1.0000000000000229,0,basal
species006,0.2,0.01434147102423519,Exponential,0.9999999999999754,0,basal
species007,0.2,0.014341471024235872,Exponential,1.0000000000000226,0,basal
species008,0.2,0.0143414710242356,Exponential,1.0000000000000038,0,basal
species009,0.2,0.014341471024235658,Exponential,1.0000000000000078,0,basal
species010,0.2,0.014341471024235691,Exponential,1.0000000000000102,0,basal
species011,0.2,0.014341471024235658,Exponential,1.0000000000000078,0,basal
species012,0.2,0.014341471024235691,Exponential,1.0000000000000102,0,basal
species013,0.2,0.014341471024235707,Exponential,1.0000000000000113,0,basal
species014,0.2,0.014341471024235627,Exponential,1.0000000000000058,0,basal
species015,0.2,0.014341471024235707,Exponential,1.0000000000000113,0,basal
species016,0.2,0.014341471024235703,Exponential,1.000000000000011,0,basal
species017,0.2,0.01434147102423568,Exponential,1.0000000000000093,0,basal
species018,0.2,0.014341471024235596,Exponential,1.0000000000000036,0,basal
species019,0.2,0.014341471024235632,Exponential,1.0000000000000062,0,basal
species020,0.2,0.014341471024235636,Exponential,1.0000000000000064,0,basal
species021,0.2,0.014341471024235636,Exponential,1.0000000000000064,0,basal
species022,0.2,0.01434147102423559,Exponential,1.000000000000003,0,basal
species023,0.2,0.014341471024235606,Exponential,1.0000000000000042,0,basal
species024,0.2,0.014341471024235556,Exponential,1.0000000000000009,0,basal
species025,0.2,0.014341471024235566,Exponential,1.0000000000000016,0,basal
species026,0.2,0.014341471024235535,Exponential,0.9999999999999993,0,basal
species027,0.2,0.014341471024235572,Exponential,1.0000000000000018,0,basal
species028,0.2,0.014341471024235582,Exponential,1.0000000000000024,0,basal
species029,0.2,0.01434147102423559,Exponential,1.000000000000003,0,basal
species030,0.2,0.014341471024235596,Exponential,1.0000000000000036,0,basal
species031,0.2,0.014341471024235566,Exponential,1.0000000000000016,0,basal
species032,0.2,0.014341471024235582,Exponential,1.0000000000000024,0,basal
species033,0.2,0.014341471024235582,Exponential,1.0000000000000024,0,basal
species034,0.2,0.014341471024235584,Exponential,1.0000000000000027,0,basal
species035,0.2,0.014341471024235582,Exponential,1.0000000000000024,0,basal
species036,0.2,0.014341471024235594,Exponential,1.0000000000000033,0,basal
species037,0.2,0.014341471024235579,Exponential,1.0000000000000022,0,basal
species038,0.2,0.014341471024235615,Exponential,1.0000000000000049,0,basal
species039,0.2,0.014341471024235572,Exponential,1.0000000000000018,0,basal
species040,0.2,0.014341471024235587,Exponential,1.0000000000000029,0,basal
species041,0.2,0.014341471024235582,Exponential,1.0000000000000024,0,basal
species042,0.2,0.014341471024235554,Exponential,1.0000000000000007,0,basal
species043,0.2,0.014341471024235563,Exponential,1.0000000000000013,0,basal
species044,0.2,0.014341471024235579,Exponential,1.0000000000000022,0,basal
species045,0.2,0.01434147102423555,Exponential,1.0000000000000004,0,basal
species046,0.2,0.014341471024235539,Exponential,0.9999999999999996,0,basal
species047,0.2,0.01434147102423556,Exponential,1.000000000000001,0,basal
species048,0.2,0.014341471024235556,Exponential,1.0000000000000009,0,basal
species049,0.2,0.014341471024235542,Exponential,0.9999999999999998,0,basal
species050,0.2,0.014341471024235502,Exponential,0.9999999999999969,0,basal
species051,0.2,0.02868294204847136,Exponential,2.0000000000000187,3.0251393490036104e-28,herbivore
species052,0.2,0.02868294204847131,Exponential,2.000000000000015,2.1358497051370637e-28,herbivore
species053,0.2,0.02868294204847131,Exponential,2.000000000000015,2.1358497051370637e-28,herbivore
species054,0.2,0.028682942048471334,Exponential,2.000000000000017,2.354002027684979e-28,herbivore
species055,0.2,0.028682942048471254,Exponential,2.0000000000000115,1.4901993364679715e-28,herbivore
species056,0.2,0.028682942048471296,Exponential,2.000000000000014,1.8511032006065846e-28,herbivore
species057,0.2,0.02868294204847126,Exponential,2.000000000000012,1.540489219175811e-28,herbivore
species058,0.2,0.028682942048471247,Exponential,2.000000000000011,1.443853758286237e-28,herbivore
species059,0.2,0.028682942048471265,Exponential,2.0000000000000124,1.5947234064097555e-28,herbivore
species060,0.2,0.028682942048471254,Exponential,2.0000000000000115,1.4901993364679715e-28,herbivore
species061,0.2,0.02868294204847127,Exponential,2.000000000000013,1.6529018981698051e-28,herbivore
species062,0.2,0.028682942048471265,Exponential,2.0000000000000124,1.5947234064097555e-28,herbivore
species063,0.2,0.028682942048471223,Exponential,2.0000000000000093,1.2979144908203498e-28,herbivore
species064,0.2,0.028682942048471317,Exponential,2.0000000000000155,2.0848032437783093e-28,herbivore
species065,0.2,0.02868294204847123,Exponential,2.0000000000000098,1.2465620083645272e-28,herbivore
species066,0.2,0.028682942048471223,Exponential,2.0000000000000093,1.2187669874071306e-28,herbivore
species067,0.2,0.028682942048471216,Exponential,2.000000000000009,1.194916270975839e-28,herbivore
species068,0.2,0.028682942048471174,Exponential,2.0000000000000058,1.078861545167012e-28,herbivore
species069,0.2,0.02947969043870647,Exponential,2.0555555555555607,0.052469135802470396,omnivore
species070,0.2,0.029479690438706452,Exponential,2.0555555555555594,0.052469135802470396,omnivore
species071,0.2,0.029437756312904653,Exponential,2.052631578947376,0.04986149584487656,omnivore
species072,0.2,0.02943775631290468,Exponential,2.0526315789473784,0.04986149584487656,omnivore
species073,0.2,0.03073172362336201,Exponential,2.1428571428571517,0.12244897959183915,omnivore
species074,0.2,0.03073172362336201,Exponential,2.1428571428571517,0.12244897959183915,omnivore
species075,0.2,0.030731723623361976,Exponential,2.1428571428571495,0.12244897959183916,omnivore
species076,0.2,0.03117711092225137,Exponential,2.1739130434782736,0.14366729678639228,omnivore
species077,0.2,0.03129048223469572,Exponential,2.1818181818181808,0.14876033057851532,omnivore
species078,0.2,0.032424195359141164,Exponential,2.2608695652173867,0.19281663516068384,omnivore
species079,0.2,0.03441953045816536,Exponential,2.400000000000003,0.24000000000000304,omnivore
species080,0.2,0.03441953045816531,Exponential,2.4,0.24000000000000304,omnivore
species081,0.2,0.03450916465206679,Exponential,2.406250000000001,0.24121093750000303,omnivore
species082,0.2,0.035431869589287845,Exponential,2.4705882352941195,0.24913494809688855,omnivore
species083,0.2,0.035455303365471286,Exponential,2.4722222222222276,0.24922839506173108,omnivore
species084,0.2,0.03545530336547125,Exponential,2.472222222222225,0.24922839506173108,omnivore
species085,0.2,0.035455303365471216,Exponential,2.4722222222222228,0.24922839506173108,omnivore
species086,0.2,0.036078401465527106,Exponential,2.5156695156695212,0.252761747063744,omnivore
species087,0.2,0.036078401465527155,Exponential,2.515669515669525,0.25276174706374405,omnivore
species088,0.2,0.03589351498010072,Exponential,2.502777777777784,0.25292438271605217,omnivore
species089,0.2,0.036269025092340715,Exponential,2.5289612921191944,0.2545918929568137,omnivore
species090,0.2,0.03667829521455596,Exponential,2.557498819512558,0.26230004212606484,omnivore
species091,0.2,0.036678295214555984,Exponential,2.55749881951256,0.26230004212606484,omnivore
species092,0.2,0.03685596972935786,Exponential,2.569887682168394,0.26106867172745174,omnivore
species093,0.2,0.03723009506042493,Exponential,2.5959746386901363,0.2612786905784023,omnivore
species094,0.2,0.03741274415169674,Exponential,2.608710367888568,0.2628976649638043,omnivore
species095,0.2,0.037412744151696715,Exponential,2.6087103678885657,0.2628976649638043,omnivore
species096,0.2,0.03741274415169674,Exponential,2.6087103678885675,0.2628976649638043,omnivore
species097,0.2,0.03780955333820706,Exponential,2.6363790209744162,0.2572398084633457,omnivore
species098,0.2,0.03826231163078672,Exponential,2.66794888516858,0.27566484929535484,omnivore
species099,0.2,0.03826231163078667,Exponential,2.667948885168577,0.27566484929535484,omnivore
species100,0.2,0.038262311630786715,Exponential,2.6679488851685798,0.27566484929535484,omnivore
species101,0.2,0.03847839987661359,Exponential,2.683016254859019,0.28093626625506807,omnivore
species102,0.2,0.038478399876613535,Exponential,2.683016254859015,0.28093626625506807,omnivore
species103,0.2,0.038478399876613556,Exponential,2.6830162548590164,0.28093626625506807,omnivore
species104,0.2,0.038478399876613584,Exponential,2.6830162548590186,0.280936266255068,omnivore
species105,0.2,0.03850780150227562,Exponential,2.685066367125211,0.291224382829234,omnivore
species106,0.2,0.03850780150227565,Exponential,2.6850663671252137,0.291224382829234,omnivore
species107,0.2,0.03933217467427754,Exponential,2.742548139434957,0.30314812165525123,omnivore
species108,0.2,0.040127219030401805,Exponential,2.7979848763485364,0.3112695888575851,omnivore
species109,0.2,0.04031442040694069,Exponential,2.811038026630159,0.31508236361737024,omnivore
species110,0.2,0.04050223349171002,Exponential,2.8241338300140617,0.319158606563263,omnivore
species111,0.2,0.040502233491710046,Exponential,2.8241338300140635,0.319158606563263,omnivore
species112,0.2,0.040502233491709984,Exponential,2.824133830014059,0.319158606563263,omnivore
species113,0.2,0.04068357026321144,Exponential,2.8367780539709333,0.32276882673722057,omnivore
species114,0.2,0.04068357026321137,Exponential,2.836778053970929,0.32276882673722057,omnivore
species115,0.2,0.040683570263211385,Exponential,2.8367780539709297,0.32276882673722057,omnivore
species116,0.2,0.04068357026321137,Exponential,2.836778053970929,0.32276882673722057,omnivore
species117,0.2,0.0408941076003121,Exponential,2.8514583707072623,0.31593175916282706,omnivore
species118,0.2,0.04086177145796361,Exponential,2.8492036408895296,0.32625309085268833,omnivore
species119,0.2,0.04083768892054069,Exponential,2.8475244172323313,0.3365176081942165,omnivore
species120,0.2,0.041321146001389315,Exponential,2.881234842057765,0.35653596298424983,omnivore
species121,0.2,0.041321146001389336,Exponential,2.8812348420577663,0.35653596298424983,omnivore
species122,0.2,0.0415155799083573,Exponential,2.8947923011663472,0.34989002161181065,omnivore
species123,0.2,0.04132114600138938,Exponential,2.8812348420577694,0.35653596298425005,omnivore
species124,0.2,0.04132114600138934,Exponential,2.8812348420577667,0.35653596298425005,omnivore
species125,0.2,0.04132114600138934,Exponential,2.8812348420577667,0.35653596298425005,omnivore
species126,0.2,0.04227036939943483,Exponential,2.9474221527207662,0.37501772345698475,omnivore
species127,0.2,0.04260560452238459,Exponential,2.970797378482702,0.36951979377248795,omnivore
species128,0.2,0.04241488311863236,Exponential,2.9574987842569125,0.3771912665928232,omnivore
species129,0.2,0.04241488311863237,Exponential,2.957498784256913,0.3771912665928232,omnivore
species130,0.2,0.04260560452238452,Exponential,2.9707973784826973,0.36951979377248817,omnivore
species131,0.2,0.04260560452238455,Exponential,2.9707973784826995,0.36951979377248817,omnivore
